1/gravity/z	1/gravity/y	1/gravity/x	/actuator/inflate	/actuator/heatintensity	
20654	9.538468	1.6988326	1.5172262	38.58851	43.930088	
20695	9.538468	1.6988326	1.5172262	44.594185	53.06753	
20735	9.538468	1.6988326	1.5172262	43.167088	56.443645	
20775	9.538468	1.6988326	1.5172262	40.73064	61.09441	
20815	9.538468	1.6988326	1.5172262	38.771824	69.70562	
20855	9.538468	1.6988326	1.5172262	36.225357	75.413284	
20895	9.538468	1.6988326	1.5172262	33.530766	80.31902	
20935	9.538468	1.6988326	1.5172262	29.974102	89.029564	
20975	9.538468	1.6988326	1.5172262	28.107431	94.76583	
21015	9.538468	1.6988326	1.5172262	25.135492	104.87255	
21055	9.538468	1.6988326	1.5172262	23.115454	111.99097	
21095	9.538468	1.6988326	1.5172262	20.847397	123.86173	
21134	9.538468	1.6988326	1.5172262	19.761074	132.18883	
21176	9.538468	1.6988326	1.5172262	18.811892	141.06914	
21216	9.538468	1.6988326	1.5172262	17.583448	154.86508	
21255	9.538468	1.6988326	1.5172262	16.799793	164.25375	
21294	9.538468	1.6988326	1.5172262	15.549628	177.72345	
21358	9.538468	1.6988326	1.5172262	14.08263	189.34904	
21375	9.538468	1.6988326	1.5172262	13.727476	192.95483	
21414	9.538468	1.6988326	1.5172262	13.1607065	203.31572	
21455	9.538468	1.6988326	1.5172262	12.688035	209.41182	
21495	9.538468	1.6988326	1.5172262	11.973011	218.09535	
21535	9.538468	1.6988326	1.5172262	11.614112	224.13824	
21576	9.538468	1.6988326	1.5172262	11.614112	231.78395	
21615	9.538468	1.6988326	1.5172262	11.614112	236.65886	
21655	9.538468	1.6988326	1.5172262	11.493262	240.20894	
21695	9.538468	1.6988326	1.5172262	11.493262	244.0934	
21735	9.538468	1.6988326	1.5172262	11.493262	245.99121	
21775	9.538468	1.6988326	1.5172262	11.493262	247.47264	
21814	9.538468	1.6988326	1.5172262	11.493262	248.9137	
21855	9.538468	1.6988326	1.5172262	11.493262	249.51283	
21895	9.538468	1.6988326	1.5172262	11.493262	250.22534	
21935	9.538468	1.6988326	1.5172262	11.493262	250.69977	
21976	9.538468	1.6988326	1.5172262	11.493262	251.17381	
22014	9.538468	1.6988326	1.5172262	11.606053	251.17381	
22055	9.538468	1.6988326	1.5172262	12.188462	251.17381	
22094	9.538468	1.6988326	1.5172262	14.188704	250.16548	
22134	9.538468	1.6988326	1.5172262	16.02015	248.53844	
22175	9.538468	1.6988326	1.5172262	18.63999	245.92508	
22215	9.538468	1.6988326	1.5172262	23.220438	240.76967	
22255	9.538468	1.6988326	1.5172262	26.607216	235.77565	
22295	9.538468	1.6988326	1.5172262	32.542427	231.13809	
22335	9.538468	1.6988326	1.5172262	36.187317	222.50192	
22375	9.538468	1.6988326	1.5172262	41.510902	215.01266	
22415	9.538468	1.6988326	1.5172262	47.13219	205.29424	
22455	9.538468	1.6988326	1.5172262	53.239845	198.53061	
22494	9.538468	1.6988326	1.5172262	59.03308	191.4293	
22535	9.538468	1.6988326	1.5172262	67.02158	180.34268	
22575	9.538468	1.6988326	1.5172262	74.15536	173.20888	
22615	9.538468	1.6988326	1.5172262	81.082924	161.95792	
22655	9.538468	1.6988326	1.5172262	86.45556	154.68222	
22695	9.538468	1.6988326	1.5172262	94.835846	145.04224	
22734	9.538468	1.6988326	1.5172262	101.34657	138.74069	
22776	9.538468	1.6988326	1.5172262	108.01321	132.11446	
22816	9.538468	1.6988326	1.5172262	111.75601	126.41831	
22857	9.538468	1.6988326	1.5172262	122.317986	114.06775	
22894	9.538468	1.6988326	1.5172262	127.439125	102.00585	
22935	9.538468	1.6988326	1.5172262	131.22998	93.8784	
22975	9.538468	1.6988326	1.5172262	137.56567	86.91514	
23022	9.538468	1.6988326	1.5172262	143.88145	75.68213	
23056	9.538468	1.6988326	1.5172262	148.57748	67.19132	
23095	9.538468	1.6988326	1.5172262	154.20113	59.389954	
23136	9.538468	1.6988326	1.5172262	160.99272	49.507915	
23174	9.538468	1.6988326	1.5172262	164.50066	44.192005	
23215	9.538468	1.6988326	1.5172262	168.24837	34.895374	
23256	9.538468	1.6988326	1.5172262	171.39774	29.182741	
23295	9.538468	1.6988326	1.5172262	175.58798	24.682848	
23334	9.538468	1.6988326	1.5172262	178.06667	19.844355	
23375	9.538468	1.6988326	1.5172262	179.0165	16.026157	
23416	9.538468	1.6988326	1.5172262	181.52556	10.443936	
23456	9.538468	1.6988326	1.5172262	183.20699	6.1619754	
23495	9.538468	1.6988326	1.5172262	183.81003	2.9536982	
23535	9.538468	1.6988326	1.5172262	184.07144	0.0	
23575	9.538468	1.6988326	1.5172262	184.27278	0.0	
23614	9.538468	1.6988326	1.5172262	184.43399	0.0	
23654	9.538468	1.6988326	1.5172262	183.65732	0.0	
23695	9.538468	1.6988326	1.5172262	182.70232	0.0	
23735	9.538468	1.6988326	1.5172262	182.70232	0.0	
23775	9.538468	1.6988326	1.5172262	182.70232	0.0	
23815	9.538468	1.6988326	1.5172262	182.70232	0.0	
23855	9.538468	1.6988326	1.5172262	182.70232	0.0	
23894	9.538468	1.6988326	1.5172262	182.70232	0.0	
23936	9.538468	1.6988326	1.5172262	182.70232	0.0	
23975	9.538468	1.6988326	1.5172262	182.70232	0.0	
24015	9.538468	1.6988326	1.5172262	182.70232	0.0	
24055	9.538468	1.6988326	1.5172262	182.70232	0.0	
24095	9.538468	1.6988326	1.5172262	182.70232	0.0	
24134	9.538468	1.6988326	1.5172262	182.70232	0.0	
24175	9.538468	1.6988326	1.5172262	182.70232	0.0	
24216	9.538468	1.6988326	1.5172262	182.70232	0.0	
24256	9.538468	1.6988326	1.5172262	182.70232	0.0	
24295	9.538468	1.6988326	1.5172262	182.70232	0.0	
24336	9.538468	1.6988326	1.5172262	182.70232	0.0	
24375	9.538468	1.6988326	1.5172262	182.70232	0.0	
24415	9.538468	1.6988326	1.5172262	182.70232	0.0	
24456	9.538468	1.6988326	1.5172262	182.70232	0.0	
24495	9.538468	1.6988326	1.5172262	182.70232	0.0	
24535	9.538468	1.6988326	1.5172262	182.70232	0.0	
24576	9.538468	1.6988326	1.5172262	182.70232	0.0	
24615	9.538468	1.6988326	1.5172262	182.70232	0.0	
24655	9.538468	1.6988326	1.5172262	182.70232	0.0	
24696	9.538468	1.6988326	1.5172262	182.70232	0.0	
24735	9.538468	1.6988326	1.5172262	182.70232	0.0	
24775	9.538468	1.6988326	1.5172262	182.70232	0.0	
24816	9.538468	1.6988326	1.5172262	182.70232	0.0	
24855	9.538468	1.6988326	1.5172262	182.70232	0.0	
